UniversityId,University
1,Arizona State University
2,Arizona State University
3,Arizona State University
4,Arizona State University
5,Arizona State University
6,Arizona State University
7,Arizona State University
8,Arizona State University
9,Arizona State University
10,Arizona State University
11,Arizona State University
12,Arizona State University
13,Arizona State University
14,Arizona State University
16,Arizona State University
17,Arizona State University
18,Arizona State University
19,Arizona State University
21,Arizona State University
22,Arizona State University
23,Arizona State University
24,Arizona State University
25,Arizona State University
26,Arizona State University
27,Arizona State University
28,Arizona State University
29,Arizona State University
30,Arizona State University
31,Arizona State University
32,Arizona State University
33,Arizona State University
34,Arizona State University
36,Arizona State University
37,Arizona State University
38,Arizona State University
39,Arizona State University
40,Arizona State University
41,Arizona State University
42,Arizona State University
43,Arizona State University
44,Arizona State University
45,Arizona State University
46,Arizona State University
47,Arizona State University
48,Arizona State University
49,Arizona State University
50,Arizona State University
51,Arizona State University
52,Arizona State University
53,Arizona State University
54,Arizona State University
55,Arizona State University
56,Arizona State University
57,Arizona State University
58,Arizona State University
59,Arizona State University
70,Arizona State University
74,Arizona State University
76,Arizona State University
77,Arizona State University
78,Arizona State University
82,Boston University
83,Boston University
84,Boston University
85,Boston University
86,Boston University
87,Boston University
88,Boston University
89,Boston University
90,Boston University
91,Boston University
92,Boston University
93,Boston University
94,Boston University
95,Boston University
96,Boston University
97,Boston University
98,Boston University
100,Boston University
101,Boston University
103,Boston University
104,Boston University
105,Boston University
110,Boston University
111,Boston University
113,Boston University
114,Boston University
115,Boston University
118,Boston University
120,Carnegie Mellon University
122,Carnegie Mellon University
123,Carnegie Mellon University
124,Carnegie Mellon University
125,Carnegie Mellon University
126,Carnegie Mellon University
127,Carnegie Mellon University
128,Carnegie Mellon University
129,Carnegie Mellon University
130,Carnegie Mellon University
131,Carnegie Mellon University
132,Carnegie Mellon University
133,Carnegie Mellon University
134,Carnegie Mellon University
135,Carnegie Mellon University
136,Carnegie Mellon University
137,Carnegie Mellon University
139,Carnegie Mellon University
140,Carnegie Mellon University
141,Carnegie Mellon University
142,Carnegie Mellon University
143,Carnegie Mellon University
144,Carnegie Mellon University
145,Carnegie Mellon University
146,Carnegie Mellon University
147,Carnegie Mellon University
148,Carnegie Mellon University
149,Carnegie Mellon University
150,Carnegie Mellon University
151,Carnegie Mellon University
152,Carnegie Mellon University
153,Carnegie Mellon University
154,Carnegie Mellon University
155,Carnegie Mellon University
157,Carnegie Mellon University
158,Carnegie Mellon University
159,Carnegie Mellon University
161,Carnegie Mellon University
162,Carnegie Mellon University
163,Carnegie Mellon University
164,Carnegie Mellon University
165,Carnegie Mellon University
166,Carnegie Mellon University
167,Carnegie Mellon University
169,Carnegie Mellon University
170,Carnegie Mellon University
171,Carnegie Mellon University
172,Carnegie Mellon University
173,Carnegie Mellon University
174,Carnegie Mellon University
175,Carnegie Mellon University
176,Carnegie Mellon University
177,Carnegie Mellon University
178,Carnegie Mellon University
179,Carnegie Mellon University
182,Carnegie Mellon University
184,Carnegie Mellon University
185,Carnegie Mellon University
187,Carnegie Mellon University
188,Carnegie Mellon University
189,Carnegie Mellon University
190,Carnegie Mellon University
191,Carnegie Mellon University
195,Carnegie Mellon University
196,Carnegie Mellon University
197,Carnegie Mellon University
198,Carnegie Mellon University
199,Carnegie Mellon University
201,Carnegie Mellon University
202,Carnegie Mellon University
203,Carnegie Mellon University
204,Carnegie Mellon University
205,Carnegie Mellon University
206,Carnegie Mellon University
207,Carnegie Mellon University
208,Carnegie Mellon University
209,Carnegie Mellon University
210,Carnegie Mellon University
211,Carnegie Mellon University
212,Carnegie Mellon University
213,Carnegie Mellon University
214,Carnegie Mellon University
215,Carnegie Mellon University
216,Carnegie Mellon University
217,Carnegie Mellon University
218,Carnegie Mellon University
219,Carnegie Mellon University
220,Carnegie Mellon University
221,Carnegie Mellon University
222,Carnegie Mellon University
223,Carnegie Mellon University
224,Carnegie Mellon University
225,Carnegie Mellon University
226,Carnegie Mellon University
227,Carnegie Mellon University
228,Carnegie Mellon University
229,Carnegie Mellon University
230,Carnegie Mellon University
231,Carnegie Mellon University
232,Carnegie Mellon University
234,Carnegie Mellon University
235,Carnegie Mellon University
236,Carnegie Mellon University
237,Carnegie Mellon University
238,Carnegie Mellon University
239,Carnegie Mellon University
240,Carnegie Mellon University
241,Carnegie Mellon University
242,Carnegie Mellon University
243,Carnegie Mellon University
245,Carnegie Mellon University
246,Carnegie Mellon University
247,Carnegie Mellon University
248,Carnegie Mellon University
249,Carnegie Mellon University
250,Carnegie Mellon University
251,Carnegie Mellon University
252,Carnegie Mellon University
254,Carnegie Mellon University
255,Carnegie Mellon University
256,Carnegie Mellon University
257,Carnegie Mellon University
258,Carnegie Mellon University
259,Carnegie Mellon University
260,Carnegie Mellon University
261,Carnegie Mellon University
262,Carnegie Mellon University
263,Carnegie Mellon University
265,Carnegie Mellon University
266,Carnegie Mellon University
267,Carnegie Mellon University
268,Carnegie Mellon University
269,Carnegie Mellon University
271,Carnegie Mellon University
274,Carnegie Mellon University
276,Carnegie Mellon University
277,Carnegie Mellon University
278,Carnegie Mellon University
279,Carnegie Mellon University
282,University of Delaware
283,University of Delaware
284,University of Delaware
285,University of Delaware
286,University of Delaware
287,University of Delaware
288,University of Delaware
289,University of Delaware
290,University of Delaware
291,University of Delaware
292,University of Delaware
293,University of Delaware
294,University of Delaware
295,University of Delaware
296,University of Delaware
297,University of Delaware
298,University of Delaware
300,University of Delaware
301,University of Delaware
302,University of Delaware
303,University of Delaware
305,University of Delaware
307,University of Delaware
310,University of Delaware
311,University of Delaware
312,University of Delaware
313,University of Delaware
314,University of Delaware
315,University of Delaware
318,University of Delaware
319,University of Delaware
321,University of Delaware
322,University of Delaware
325,Drexel University
326,Drexel University
327,Drexel University
328,Drexel University
332,Drexel University
333,Drexel University
334,Drexel University
335,Drexel University
336,Drexel University
337,Drexel University
338,Drexel University
339,Drexel University
341,Drexel University
342,Drexel University
343,Drexel University
344,Drexel University
345,Drexel University
346,Drexel University
348,Drexel University
349,Drexel University
350,Drexel University
351,Drexel University
352,Drexel University
353,Drexel University
354,Drexel University
355,Drexel University
356,Drexel University
357,Drexel University
358,Drexel University
359,Drexel University
360,Drexel University
361,Drexel University
362,Drexel University
363,Drexel University
365,Drexel University
366,Drexel University
368,Drexel University
370,Drexel University
371,Drexel University
372,Drexel University
374,Drexel University
376,University of Arizona
378,University of Arizona
379,University of Arizona
380,University of Arizona
381,University of Arizona
383,University of Arizona
384,University of Arizona
385,University of Arizona
386,University of Arizona
387,University of Arizona
388,University of Arizona
389,University of Arizona
390,University of Arizona
391,University of Arizona
392,University of Arizona
393,University of Arizona
394,University of Arizona
395,University of Arizona
396,University of Arizona
397,University of Arizona
398,University of Arizona
399,University of Arizona
400,University of Arizona
401,University of Arizona
402,University of Arizona
404,University of Arizona
405,University of Arizona
406,University of Arizona
407,University of Arizona
408,University of Arizona
409,University of Arizona
410,University of Arizona
411,University of Arizona
412,University of Arizona
413,University of Arizona
414,University of Arizona
415,University of Arizona
416,University of Arizona
417,University of Arizona
418,University of Arizona
419,University of Arizona
420,University of Arizona
421,University of Arizona
422,University of Arizona
423,University of Arizona
424,University of Arizona
425,University of Arizona
426,University of Arizona
428,University of Arizona
429,University of Arizona
430,University of Arizona
431,University of Arizona
432,University of Arizona
433,University of Arizona
434,University of Arizona
435,University of Arizona
438,University of Arizona
439,University of Arizona
441,University of Arizona
445,University of Arizona
448,University of Arizona
449,University of Arizona
451,University of Arizona
452,University of Arizona
457,Illinois Institute of Technology
458,Illinois Institute of Technology
459,Illinois Institute of Technology
460,Illinois Institute of Technology
461,Illinois Institute of Technolog
462,Illinois Institute of Technology
464,Illinois Institute of Technology
465,Illinois Institute of Technology
466,Illinois Institute of Technology
467,Illinois Institute of Technology
468,Illinois Institute of Technology
469,Illinois Institute of Technology
470,Illinois Institute of Technology
471,Illinois Institute of Technology
472,Illinois Institute of Technology
473,Illinois Institute of Technology
474,Illinois Institute of Technology
475,Illinois Institute of Technology
476,Illinois Institute of Technology
477,Illinois Institute of Technology
478,Illinois Institute of Technology
479,Illinois Institute of Technology
480,Illinois Institute of Technology
481,Illinois Institute of Technology
482,Illinois Institute of Technology
483,Illinois Institute of Technology
484,Illinois Institute of Technology
485,Illinois Institute of Technology
486,Illinois Institute of Technology
487,Illinois Institute of Technology
488,Illinois Institute of Technology
489,Illinois Institute of Technology
490,Illinois Institute of Technology
491,Illinois Institute of Technology
492,Illinois Institute of Technology
493,Illinois Institute of Technology
494,Illinois Institute of Technology
495,Illinois Institute of Technology
496,Illinois Institute of Technology
497,Illinois Institute of Technology
498,Illinois Institute of Technology
499,Illinois Institute of Technology
500,Illinois Institute of Technology
501,Illinois Institute of Technology
502,Illinois Institute of Technology
503,Illinois Institute of Technology
504,Illinois Institute of Technology
505,Illinois Institute of Technology
506,Illinois Institute of Technology
507,Illinois Institute of Technology
508,Illinois Institute of Technology
509,Illinois Institute of Technology
510,Illinois Institute of Technology
511,Illinois Institute of Technology
512,Illinois Institute of Technology
513,Illinois Institute of Technology
514,Illinois Institute of Technology
515,Illinois Institute of Technology
516,Illinois Institute of Technology
517,Illinois Institute of Technology
518,Illinois Institute of Technology
519,Illinois Institute of Technology
520,Illinois Institute of Technology
521,Illinois Institute of Technology
525,Illinois Institute of Technology
527,Illinois Institute of Technology
528,Illinois Institute of Technology
529,Illinois Institute of Technology
531,Illinois Institute of Technology
532,Illinois Institute of Technology
534,Illinois Institute of Technology
538,Iowa State University
539,Iowa State University
540,Iowa State University
541,Iowa State University
542,Iowa State University
543,Iowa State University
544,Iowa State University
545,Iowa State University
546,Iowa State University
547,Iowa State University
548,Iowa State University
549,Iowa State University
550,Iowa State University
551,Iowa State University
552,Iowa State University
553,Iowa State University
554,Iowa State University
555,Iowa State University
556,Iowa State University
557,Iowa State University
558,Iowa State University
559,Iowa State University
560,Iowa State University
561,Iowa State University
562,Iowa State University
563,Iowa State University
564,Iowa State University
565,Iowa State University
566,Iowa State University
567,Iowa State University
568,Iowa State University
569,Iowa State University
570,Iowa State University
571,Iowa State University
572,Iowa State University
573,Iowa State University
574,Iowa State University
575,Iowa State University
576,Iowa State University
577,Iowa State University
578,Iowa State University
579,Iowa State University
580,Iowa State University
581,Iowa State University
582,Iowa State University
583,Iowa State University
584,Iowa State University
585,Iowa State University
586,Iowa State University
587,Iowa State University
588,Iowa State University
589,Iowa State University
590,Iowa State University
591,Iowa State University
592,Iowa State University
593,Iowa State University
594,Iowa State University
595,Iowa State University
596,Iowa State University
597,Iowa State University
600,Iowa State University
602,Iowa State University
604,Iowa State University
606,Iowa State University
609,Iowa State University
613,Iowa State University
614,Iowa State University
615,Iowa State University
617,Iowa State University
