UniversityId,Course,Year,Status,EnglishTest,TestScore,UndergradScore,WorkExp,Ranking
1,Management Information System,Fall 2018 ,Applied,TOEFL,106,7.63 CGPA ,6,10
2,Management Information System,Fall 2018 ,Applied,ENG TEST,0,80.68%,48,10
3,Management Information System,Fall 2018 ,Applied,TOEFL,109,62%,1,10
4,Management Information System,Fall 2018 ,Applied,IELTS,7.5,7 CGPA ,48,10
5,Management Information System,Fall 2018 ,Applied,TOEFL,90,8.2 CGPA ,24,10
6,Management Information System,Fall 2017 ,Applied,TOEFL,100,8.96 CGPA ,2,10
7,Management Information System,Fall 2017 ,Applied,TOEFL,88,7.69 CGPA ,16,10
8,Management Information System,Fall 2017 ,Applied,TOEFL,103,7.5 CGPA ,29,10
9,Management Information System,Fall 2017 ,Applied,IELTS,6.5,65.23%,26,10
10,Management Information System,Fall 2017 ,Applied,TOEFL,89,8.86 CGPA ,17,10
11,Management Information System,Fall 2017 ,Applied,TOEFL,115,73%,33,10
12,Management Information System,Fall 2017 ,Applied,TOEFL,110,7.6 CGPA ,0,10
13,Management Information System,Fall 2017 ,Applied,TOEFL,100,6.74 CGPA ,28,10
14,Management Information System,Fall 2017 ,Applied,ENG TEST,0,73%,25,10
16,Management Information System,Spring 2017 ,Applied,TOEFL,88,57.70%,12,10
17,Management Information System,Fall 2016 ,Applied,TOEFL,87,70%,27,10
18,Management Information System,Fall 2016 ,Applied,TOEFL,92,71%,36,10
19,Management Information System,Fall 2016 ,Applied,TOEFL,100,68%,0,10
21,Management Information System,Fall 2018 ,Admit,ENG TEST,0,7.1 CGPA ,0,10
22,Management Information System,Fall 2018 ,Admit,TOEFL,104,77%,3,10
23,Management Information System,Fall 2018 ,Admit,TOEFL,0,80.12%,60,10
24,Management Information System,Fall 2018 ,Admit,IELTS,7,7.74 CGPA ,25,10
25,Management Information System,Fall 2018 ,Admit,TOEFL,110,8.6 CGPA ,24,10
26,Management Information System,Fall 2018 ,Admit,TOEFL,103,8 CGPA ,34,10
27,Management Information System,Fall 2018 ,Admit,TOEFL,102,7.5 CGPA ,12,10
28,Management Information System,Fall 2018 ,Admit,TOEFL,99,74%,0,10
29,Management Information System,Fall 2018 ,Admit,TOEFL,110,7.49 CGPA ,0,10
30,Management Information System,Fall 2018 ,Admit,TOEFL,101,66%,22,10
31,Management Information System,Fall 2018 ,Admit,TOEFL,103,63.17%,27,10
32,Management Information System,Fall 2018 ,Admit,TOEFL,91,64%,15,10
33,Management Information System,Fall 2018 ,Admit,ENG TEST,0,75%,38,10
34,Management Information System,Fall 2018 ,Admit,TOEFL,88,83%,30,10
36,Management Information System,Fall 2018 ,Admit,TOEFL,91,7.93 CGPA ,16,10
37,Management Information System,Fall 2018 ,Admit,ENG TEST,0,65%,74,10
38,Management Information System,Fall 2018 ,Admit,IELTS,7.5,8.2 CGPA ,31,10
39,Management Information System,Fall 2018 ,Admit,TOEFL,111,6.68 CGPA ,6,10
40,Management Information System,Fall 2018 ,Reject,TOEFL,0,74%,15,10
41,Management Information System,Fall 2018 ,Reject,TOEFL,84,68.50%,43,10
42,Management Information System,Fall 2018 ,Reject,TOEFL,91,6.3 CGPA ,21,10
43,Management Information System,Fall 2018 ,Reject,TOEFL,0,57.43%,6,10
44,Management Information System,Fall 2018 ,Reject,TOEFL,96,68.68%,41,10
45,Management Information System,Fall 2018 ,Reject,TOEFL,105,7.55 CGPA ,27,10
46,Management Information System,Fall 2018 ,Reject,TOEFL,88,8.6 CGPA ,55,10
47,Management Information System,Fall 2018 ,Reject,ENG TEST,0,63%,7,10
48,Management Information System,Fall 2018 ,Reject,TOEFL,90,67%,14,10
49,Management Information System,Fall 2018 ,Reject,TOEFL,84,68.94%,43,10
50,Management Information System,Fall 2018 ,Reject,TOEFL,98,53.63%,18,10
51,Management Information System,Fall 2018 ,Reject,TOEFL,102,7.09 CGPA ,0,10
52,Management Information System,Fall 2018 ,Reject,IELTS,7,8.4 CGPA ,41,10
53,Management Information System,Fall 2018 ,Reject,TOEFL,0,6.03 CGPA ,28,10
54,Management Information System,Fall 2018 ,Reject,TOEFL,89,65%,15,10
55,Management Information System,Fall 2017 ,Reject,TOEFL,107,7.16 CGPA ,6,10
56,Management Information System,Fall 2017 ,Reject,TOEFL,92,71.10%,35,10
57,Management Information System,Fall 2017 ,Reject,TOEFL,101,82.20%,18,10
58,Management Information System,Fall 2017 ,Reject,TOEFL,86,8.1 CGPA ,14,10
59,Management Information System,Fall 2017 ,Reject,TOEFL,97,59%,12,10
70,Management Information System,Spring 2019 ,Interested,ENG TEST,0,74%,24,10
74,Management Information System,Fall 2019 ,Interested,TOEFL,0,8.98 CGPA ,35,10
76,Management Information System,Fall 2019 ,Interested,IELTS,6.5,7.77 CGPA ,9,10
77,Management Information System,Spring 2019 ,Interested,TOEFL,102,65%,26,10
78,Management Information System,Fall 2019 ,Interested,TOEFL,112,8.3 CGPA ,12,10
82,Management Information System,Fall 2016 ,Applied,TOEFL,101,73%,30,9
83,Management Information System,Fall 2017 ,Applied,TOEFL,91,5.93 CGPA ,0,9
84,Management Information System,Fall 2016 ,Applied,TOEFL,107,6 CGPA ,30,9
85,Management Information System,Spring 2016 ,Applied,TOEFL,99,5 CGPA ,0,9
86,Management Information System,Fall 2016 ,Applied,TOEFL,103,81%,0,9
87,Management Information System,Spring 2016 ,Applied,TOEFL,80,81%,0,9
88,Management Information System,Fall 2016 ,Applied,IELTS,7.5,78%,0,9
89,Management Information System,Fall 2016 ,Applied,TOEFL,101,73.64%,0,9
90,Management Information System,Fall 2016 ,Applied,IELTS,7,6.35 CGPA ,10,9
91,Management Information System,Fall 2018 ,Admit,TOEFL,90,5.67 CGPA ,8,9
92,Management Information System,Fall 2018 ,Admit,TOEFL,106,6.75 CGPA ,5,9
93,Management Information System,Fall 2017 ,Admit,TOEFL,112,72.30%,22,9
94,Management Information System,Fall 2016 ,Admit,TOEFL,97,56%,82,9
95,Management Information System,Fall 2016 ,Admit,TOEFL,97,6.085 CGPA ,6,9
96,Management Information System,Spring 2016 ,Admit,TOEFL,99,73.42%,26,9
97,Management Information System,Fall 2015 ,Admit,TOEFL,88,53%,20,9
98,Management Information System,Fall 2015 ,Admit,TOEFL,108,7.5 CGPA ,10,9
100,Management Information System,Fall 2020 ,Interested,TOEFL,92,5.5 CGPA ,0,9
101,Management Information System,Spring 2019 ,Interested,TOEFL,103,9 CGPA ,2,9
103,Management Information System,Spring 2019 ,Interested,TOEFL,100,71%,0,9
104,Management Information System,Spring 2019 ,Interested,TOEFL,100,6.47 CGPA ,38,9
105,Management Information System,Fall 2018 ,Interested,ENG TEST,0,63%,0,9
110,Management Information System,Spring 2019 ,Interested,TOEFL,87,8.8 CGPA ,18,9
111,Management Information System,Fall 2018 ,Interested,TOEFL,110,7.49 CGPA ,0,9
113,Management Information System,Fall 2018 ,Interested,TOEFL,100,67%,41,9
114,Management Information System,Fall 2018 ,Interested,IELTS,7,71.98%,48,9
115,Management Information System,Fall 2018 ,Interested,TOEFL,84,78%,44,9
118,Management Information System,Spring 2019 ,Interested,TOEFL,91,7.3 CGPA ,48,9
120,Information Management and Systems,Fall 2018 ,Applied,TOEFL,110,9.09 CGPA ,16,1
122,Information Management and Systems,Fall 2018 ,Applied,TOEFL,102,74%,85,1
123,Information Management and Systems,Fall 2018 ,Applied,TOEFL,104,65%,60,1
124,Information Management and Systems,Fall 2018 ,Applied,TOEFL,103,8 CGPA ,34,1
125,Information Management and Systems,Fall 2018 ,Applied,TOEFL,113,78.04%,5,1
126,Information Management and Systems,Fall 2018 ,Applied,ENG TEST,0,80%,0,1
127,Information Management and Systems,Fall 2018 ,Applied,TOEFL,103,9 CGPA ,30,1
128,Information Management and Systems,Fall 2018 ,Applied,TOEFL,110,63.58%,16,1
129,Information Management and Systems,Fall 2018 ,Applied,TOEFL,111,9.6 CGPA ,6,1
130,Information Management and Systems,Fall 2018 ,Applied,IELTS,7.5,72%,60,1
131,Information Management and Systems,Fall 2017 ,Applied,TOEFL,109,63.65%,17,1
132,Information Management and Systems,Fall 2018 ,Applied,TOEFL,101,9.81 CGPA ,0,1
133,Information Management and Systems,Fall 2018 ,Applied,TOEFL,116,8.1 CGPA ,6,1
134,Information Management and Systems,Fall 2017 ,Applied,TOEFL,93,73%,0,1
135,Information Management and Systems,Fall 2018 ,Applied,TOEFL,0,73.50%,33,1
136,Information Management and Systems,Fall 2018 ,Applied,TOEFL,91,72%,20,1
137,Information Management and Systems,Fall 2018 ,Applied,TOEFL,98,77.80%,31,1
139,Information Management and Systems,Fall 2018 ,Applied,TOEFL,0,88%,0,1
140,Information Management and Systems,Fall 2018 ,Admit,TOEFL,102,7.48 CGPA ,15,1
141,Information Management and Systems,Fall 2018 ,Admit,TOEFL,108,83.30%,8,1
142,Information Management and Systems,Fall 2018 ,Admit,TOEFL,109,83%,18,1
143,Information Management and Systems,Fall 2018 ,Admit,TOEFL,107,7.39 CGPA ,14,1
144,Information Management and Systems,Spring 2018 ,Admit,TOEFL,109,85.40%,6,1
145,Information Management and Systems,Fall 2018 ,Admit,TOEFL,110,8.6 CGPA ,3,1
146,Information Management and Systems,Fall 2018 ,Admit,TOEFL,0,75%,144,1
147,Information Management and Systems,Fall 2018 ,Admit,IELTS,8,75%,44,1
148,Information Management and Systems,Fall 2018 ,Admit,TOEFL,104,8.55 CGPA ,60,1
149,Information Management and Systems,Fall 2018 ,Admit,TOEFL,0,8.57 CGPA ,16,1
150,Information Management and Systems,Fall 2018 ,Admit,TOEFL,112,8.72 CGPA ,36,1
151,Information Management and Systems,Fall 2018 ,Admit,TOEFL,108,66.50%,24,1
152,Information Management and Systems,Fall 2018 ,Admit,TOEFL,109,86%,25,1
153,Information Management and Systems,Fall 2018 ,Admit,TOEFL,109,77%,38,1
154,Information Management and Systems,Fall 2018 ,Admit,TOEFL,103,90%,27,1
155,Information Management and Systems,Fall 2018 ,Admit,TOEFL,111,7.98 CGPA ,30,1
157,Information Management and Systems,Fall 2018 ,Admit,TOEFL,108,77.10%,22,1
158,Information Management and Systems,Fall 2018 ,Admit,TOEFL,116,8.19 CGPA ,0,1
159,Information Management and Systems,Fall 2018 ,Admit,TOEFL,106,78%,36,1
161,Information Management and Systems,Fall 2018 ,Reject,TOEFL,109,81%,18,1
162,Information Management and Systems,Fall 2018 ,Reject,IELTS,0,7.38 CGPA ,45,1
163,Information Management and Systems,Fall 2018 ,Reject,IELTS,7,85.45%,7,1
164,Information Management and Systems,Fall 2018 ,Reject,ENG TEST,0,65%,74,1
165,Information Management and Systems,Fall 2018 ,Reject,TOEFL,110,3.1 CGPA ,12,1
166,Information Management and Systems,Fall 2018 ,Reject,TOEFL,106,7.8 CGPA ,33,1
167,Information Management and Systems,Fall 2018 ,Reject,TOEFL,116,8.48 CGPA ,2,1
169,Information Management and Systems,Fall 2018 ,Reject,TOEFL,109,6.72 CGPA ,29,1
170,Information Management and Systems,Fall 2018 ,Reject,TOEFL,101,8.72 CGPA ,20,1
171,Information Management and Systems,Fall 2018 ,Reject,TOEFL,108,63.22%,21,1
172,Information Management and Systems,Fall 2018 ,Reject,TOEFL,109,6.75 CGPA ,13,1
173,Information Management and Systems,Fall 2018 ,Reject,TOEFL,0,6.03 CGPA ,28,1
174,Information Management and Systems,Fall 2018 ,Reject,IELTS,8,77.20%,20,1
175,Information Management and Systems,Fall 2018 ,Reject,TOEFL,107,9.23 CGPA ,15,1
176,Information Management and Systems,Fall 2018 ,Reject,TOEFL,110,7.4 CGPA ,4,1
177,Information Management and Systems,Fall 2018 ,Reject,ENG TEST,0,75%,38,1
178,Information Management and Systems,Fall 2018 ,Reject,TOEFL,106,73.40%,82,1
179,Information Management and Systems,Fall 2018 ,Reject,TOEFL,110,6.2 CGPA ,40,1
182,Information Management and Systems,Fall 2019 ,Interested,ENG TEST,0,79.80%,134,1
184,Information Management and Systems,Fall 2019 ,Interested,TOEFL,104,75%,36,1
185,Information Management and Systems,Fall 2016 ,Interested,TOEFL,104,8.54 CGPA ,30,1
187,Information Management and Systems,Spring 2018 ,Interested,TOEFL,105,5.8 CGPA ,28,1
188,Information Management and Systems,Fall 2019 ,Interested,ENG TEST,0,6.45 CGPA ,1,1
189,Information Management and Systems,Fall 2018 ,Interested,TOEFL,116,8.38 CGPA ,4,1
190,Information Management and Systems,Spring 2019 ,Interested,IELTS,7.5,9.5 CGPA ,24,1
191,Information Management and Systems,Fall 2019 ,Interested,ENG TEST,0,8 CGPA ,6,1
195,Information Management and Systems,Spring 2019 ,Interested,TOEFL,102,65%,26,1
196,Information Management and Systems,Fall 2019 ,Interested,TOEFL,114,7.58 CGPA ,38,1
197,Information Management and Systems,Fall 2019 ,Interested,ENG TEST,0,7.54 CGPA ,0,1
198,Information Management and Systems,Spring 2019 ,Interested,ENG TEST,0,70%,60,1
199,Information Management and Systems,Fall 2019 ,Interested,ENG TEST,0,9 CGPA ,12,1
201,Information Systems,Fall 2018 ,Applied,ENG TEST,0,75%,38,1
202,Information Systems,Fall 2018 ,Applied,TOEFL,97,8.15 CGPA ,6,1
203,Information Systems,Fall 2018 ,Applied,TOEFL,110,7.62 CGPA ,2,1
204,Information Systems,Fall 2018 ,Applied,TOEFL,98,65%,25,1
205,Information Systems,Fall 2018 ,Applied,TOEFL,111,8.5 CGPA ,31,1
206,Information Systems,Fall 2018 ,Applied,TOEFL,104,71%,76,1
207,Information Systems,Fall 2017 ,Applied,TOEFL,108,7.32 CGPA ,6,1
208,Information Systems,Fall 2017 ,Applied,TOEFL,112,75%,30,1
209,Information Systems,Fall 2017 ,Applied,TOEFL,102,7.99 CGPA ,13,1
210,Information Systems,Fall 2017 ,Applied,TOEFL,105,67%,68,1
211,Information Systems,Fall 2017 ,Applied,TOEFL,103,8.1 CGPA ,1,1
212,Information Systems,Fall 2017 ,Applied,TOEFL,99,7.24 CGPA ,2,1
213,Information Systems,Fall 2017 ,Applied,TOEFL,100,71%,54,1
214,Information Systems,Fall 2017 ,Applied,TOEFL,104,58%,53,1
215,Information Systems,Fall 2017 ,Applied,TOEFL,104,8.6 CGPA ,2,1
216,Information Systems,Fall 2017 ,Applied,TOEFL,106,7.79 CGPA ,20,1
217,Information Systems,Fall 2017 ,Applied,TOEFL,112,8.6 CGPA ,15,1
218,Information Systems,Fall 2017 ,Applied,TOEFL,105,6.33 CGPA ,57,1
219,Information Systems,Fall 2017 ,Applied,TOEFL,100,9.1 CGPA ,21,1
220,Information Systems,Fall 2016 ,Applied,TOEFL,113,58.05%,36,1
221,Information Systems,Fall 2018 ,Admit,TOEFL,102,7.58 CGPA ,42,1
222,Information Systems,Fall 2018 ,Admit,TOEFL,107,69%,60,1
223,Information Systems,Fall 2020 ,Admit,TOEFL,116,8.19 CGPA ,3,1
224,Information Systems,Fall 2018 ,Admit,TOEFL,110,79.04%,27,1
225,Information Systems,Fall 2018 ,Admit,TOEFL,117,8.21 CGPA ,0,1
226,Information Systems,Fall 2018 ,Admit,TOEFL,109,7.4 CGPA ,21,1
227,Information Systems,Fall 2018 ,Admit,TOEFL,106,8.81 CGPA ,32,1
228,Information Systems,Fall 2018 ,Admit,TOEFL,112,8.48 CGPA ,21,1
229,Information Systems,Fall 2018 ,Admit,TOEFL,104,8.3 CGPA ,23,1
230,Information Systems,Fall 2018 ,Admit,TOEFL,112,66.21%,27,1
231,Information Systems,Fall 2018 ,Admit,TOEFL,105,9.56 CGPA ,19,1
232,Information Systems,Fall 2018 ,Admit,TOEFL,109,8.6 CGPA ,24,1
234,Information Systems,Fall 2018 ,Admit,TOEFL,118,8.43 CGPA ,30,1
235,Information Systems,Fall 2018 ,Admit,TOEFL,113,73.40%,26,1
236,Information Systems,Fall 2018 ,Admit,TOEFL,111,8.48 CGPA ,24,1
237,Information Systems,Fall 2018 ,Admit,TOEFL,105,9.21 CGPA ,13,1
238,Information Systems,Fall 2017 ,Admit,TOEFL,105,8.1 CGPA ,24,1
239,Information Systems,Fall 2015 ,Admit,TOEFL,104,9.24 CGPA ,16,1
240,Information Systems,Fall 2011 ,Admit,TOEFL,113,65.50%,0,1
241,Information Systems,Fall 2018 ,Reject,TOEFL,113,7.65 CGPA ,40,1
242,Information Systems,Fall 2018 ,Reject,TOEFL,101,7.61 CGPA ,9,1
243,Information Systems,Fall 2018 ,Reject,TOEFL,110,72%,60,1
245,Information Systems,Fall 2018 ,Reject,TOEFL,0,7.54 CGPA ,7,1
246,Information Systems,Fall 2018 ,Reject,TOEFL,106,7.29 CGPA ,26,1
247,Information Systems,Fall 2018 ,Reject,TOEFL,101,8.45 CGPA ,24,1
248,Information Systems,Fall 2018 ,Reject,TOEFL,109,60%,29,1
249,Information Systems,Fall 2018 ,Reject,TOEFL,110,8.98 CGPA ,6,1
250,Information Systems,Fall 2018 ,Reject,TOEFL,100,8.91 CGPA ,24,1
251,Information Systems,Fall 2018 ,Reject,TOEFL,114,7.72 CGPA ,25,1
252,Information Systems,Fall 2018 ,Reject,TOEFL,0,9.45 CGPA ,11,1
254,Information Systems,Fall 2017 ,Reject,TOEFL,104,6.56 CGPA ,19,1
255,Information Systems,Fall 2017 ,Reject,TOEFL,104,60.43%,0,1
256,Information Systems,Fall 2017 ,Reject,TOEFL,110,6.79 CGPA ,1,1
257,Information Systems,Fall 2017 ,Reject,TOEFL,108,71%,13,1
258,Information Systems,Fall 2017 ,Reject,TOEFL,95,71.43%,25,1
259,Information Systems,Fall 2017 ,Reject,TOEFL,98,9.2 CGPA ,13,1
260,Information Systems,Fall 2017 ,Reject,TOEFL,112,9.45 CGPA ,4,1
261,Information Systems,Fall 2019 ,Interested,TOEFL,105,79%,6,1
262,Information Systems,Fall 2018 ,Interested,TOEFL,82,55%,22,1
263,Information Systems,Fall 2019 ,Interested,ENG TEST,0,7.71 CGPA ,0,1
265,Information Systems,Spring 2019 ,Interested,IELTS,7.5,75.82%,36,1
266,Information Systems,Fall 2018 ,Interested,IELTS,7,7.2 CGPA ,36,1
267,Information Systems,Fall 2018 ,Interested,TOEFL,110,8.76 CGPA ,8,1
268,Information Systems,Fall 2019 ,Interested,TOEFL,115,6.98 CGPA ,25,1
269,Information Systems,Fall 2019 ,Interested,TOEFL,109,7.97 CGPA ,24,1
271,Information Systems,Fall 2019 ,Interested,TOEFL,104,9.39 CGPA ,2,1
274,Information Systems,Fall 2018 ,Interested,ENG TEST,0,74%,12,1
276,Information Systems,Fall 2018 ,Interested,TOEFL,110,5.66 CGPA ,6,1
277,Information Systems,Fall 2018 ,Interested,TOEFL,110,66%,46,1
278,Information Systems,Fall 2018 ,Interested,TOEFL,113,8.79 CGPA ,6,1
279,Information Systems,Fall 2018 ,Interested,TOEFL,98,65%,0,1
282,Management Information System,Fall 2018 ,Applied,IELTS,7.5,9.24 CGPA ,40,30
283,Management Information System,Fall 2016 ,Applied,IELTS,7,51%,54,30
284,Management Information System,Fall 2016 ,Applied,TOEFL,94,6.6 CGPA ,0,30
285,Management Information System,Fall 2016 ,Applied,IELTS,7.5,69%,48,30
286,Management Information System,Fall 2016 ,Applied,TOEFL,99,7.46 CGPA ,0,30
287,Management Information System,Fall 2016 ,Applied,TOEFL,90,6 CGPA ,30,30
288,Management Information System,Fall 2016 ,Applied,TOEFL,90,6 CGPA ,30,30
289,Management Information System,Fall 2017 ,Applied,IELTS,6,70.80%,30,30
290,Management Information System,Fall 2016 ,Applied,ENG TEST,0,8 CGPA ,30,30
291,Management Information System,Fall 2016 ,Applied,TOEFL,112,8 CGPA ,30,30
292,Management Information System,Fall 2015 ,Applied,TOEFL,0,54.13%,30,30
293,Management Information System,Fall 2018 ,Admit,IELTS,7.5,7.51 CGPA ,32,30
294,Management Information System,Spring 2018 ,Admit,TOEFL,93,64.10%,2,30
295,Management Information System,Fall 2017 ,Admit,IELTS,7.5,6.47 CGPA ,0,30
296,Management Information System,Fall 2017 ,Admit,TOEFL,108,6.47 CGPA ,12,30
297,Management Information System,Fall 2017  ,Admit,TOEFL,108,7.696 CGPA ,2,30
298,Management Information System,Spring 2017 ,Admit,IELTS,6.5,7.4 CGPA ,16,30
300,Management Information System,Fall 2017 ,Reject,TOEFL,92,6.75 CGPA ,1,30
301,Management Information System,Spring 2017 ,Reject,TOEFL,93,7.2 CGPA ,25,30
302,Management Information System,Fall 2016 ,Reject,TOEFL,101,75%,0,30
303,Management Information System,Fall 2016 ,Reject,TOEFL,98,68%,0,30
305,Management Information System,Spring 2019 ,Interested,IELTS,6.5,74%,60,30
307,Management Information System,Spring 2019 ,Interested,ENG TEST,0,7.6 CGPA ,19,30
310,Management Information System,Spring 2019 ,Interested,IELTS,7,62%,8,30
311,Management Information System,Spring 2019 ,Interested,IELTS,7,65%,15,30
312,Management Information System,Fall 2018 ,Interested,TOEFL,83,68.19%,12,30
313,Management Information System,Fall 2019 ,Interested,TOEFL,100,8.05 CGPA ,48,30
314,Management Information System,Spring 2019 ,Interested,TOEFL,99,67.91%,53,30
315,Management Information System,Fall 2018 ,Interested,IELTS,7,6.87 CGPA ,32,30
318,Management Information System,Fall 2018 ,Interested,TOEFL,98,65%,29,30
319,Management Information System,Fall 2018 ,Interested,TOEFL,99,76%,38,30
321,Management Information System,Fall 2018 ,Interested,IELTS,7,71.40%,36,30
322,Management Information System,Spring 2019 ,Interested,ENG TEST,0,54%,0,30
325,Information Systems,Fall 2018 ,Applied,IELTS,6,6.5 CGPA ,10,8
326,Information Systems, Fall 2018 ,Applied,TOEFL,100,65%,12,8
327,Information Systems,Fall 2018 ,Applied,TOEFL,84,65.90%,8,8
328,Information Systems,Fall 2016 ,Applied,TOEFL,85,7.62 CGPA ,36,8
332,Information Systems,Fall 2018 ,Admit,TOEFL,97,6.88 CGPA ,0,8
333,Information Systems,Fall 2018 ,Admit,TOEFL,0,57.43%,6,8
334,Information Systems,Fall 2018 ,Admit,TOEFL,104,7.8 CGPA ,20,8
335,Information Systems,Fall 2018 ,Admit,IELTS,6.5,7.75 CGPA ,0,8
336,Information Systems,Fall 2018 ,Admit,TOEFL,96,8.4 CGPA ,4,8
337,Information Systems,Fall 2018 ,Admit,TOEFL,102, 8 CGPA ,0,8
338,Information Systems,Fall 2018 ,Admit,TOEFL,93,7.445 CGPA ,4,8
339,Information Systems,Fall 2018 ,Admit,IELTS,7,8.22 CGPA ,8,8
341,Information Systems,Spring 2018 ,Admit,TOEFL,100,6.79 CGPA ,27,8
342,Information Systems,Fall 2017 ,Admit,TOEFL,86,65%,28,8
343,Information Systems,Fall 2017 ,Admit,ENG TEST,0,80.20%,0,8
344,Information Systems,Spring 2017 ,Admit,TOEFL,114,6.81 CGPA ,6,8
345,Information Systems,Spring 2017 ,Admit,TOEFL,107,8.25 CGPA ,6,8
346,Information Systems,Fall 2016 ,Admit,TOEFL,101,8.42 CGPA ,41,8
348,Information Systems,Fall 2016 ,Admit,IELTS,7.5,8 CGPA ,6,8
349,Information Systems,Fall 2018 ,Reject,TOEFL,92,6.33 CGPA ,-1,8
350,Information Systems,Fall 2018 ,Reject,TOEFL,94,6.45 CGPA ,13,8
351,Information Systems,Fall 2017 ,Reject,TOEFL,113,5.97 CGPA ,20,8
352,Information Systems,Fall 2017 ,Reject,TOEFL,96,78%,74,8
353,Information Systems,Fall 2016 ,Reject,TOEFL,86,62.20%,32,8
354,Information Systems,Fall 2016 ,Reject,TOEFL,110,8.2 CGPA ,20,8
355,Information Systems,Spring 2019 ,Interested,TOEFL,102,65%,26,8
356,Information Systems,Spring 2019 ,Interested,TOEFL,100,6.47 CGPA ,38,8
357,Information Systems,Fall 2018 ,Interested,TOEFL,86,67%,30,8
358,Information Systems,Fall 2018 ,Interested,IELTS,7,58.71%,30,8
359,Information Systems,Spring 2019 ,Interested,IELTS,7,62%,8,8
360,Information Systems,Fall 2018 ,Interested,TOEFL,86,70%,7,8
