Serial No,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex,Ranking
1,Ami0603,Arizona State University,Management Information System,Fall 2018 ,Applied,314,TOEFL,106,7.63 CGPA ,6,10
2,Sonajan,Arizona State University,Management Information System,Fall 2018 ,Applied,314,ENG TEST,0,80.68%,48,10
3,saniya264,Arizona State University,Management Information System,Fall 2018 ,Applied,307,TOEFL,109,62%,1,10
4,Abhiraj29,Arizona State University,Management Information System,Fall 2018 ,Applied,290,IELTS,7.5,7 CGPA ,48,10
5,apekshak95,Arizona State University,Management Information System,Fall 2018 ,Applied,306,TOEFL,90,8.2 CGPA ,24,10
6,aryan29041995,Arizona State University,Management Information System,Fall 2017 ,Applied,310,TOEFL,100,8.96 CGPA ,2,10
7,Ishita1302,Arizona State University,Management Information System,Fall 2017 ,Applied,309,TOEFL,88,7.69 CGPA ,16,10
8,Freya,Arizona State University,Management Information System,Fall 2017 ,Applied,310,TOEFL,103,7.5 CGPA ,29,10
9,Vineetb71,Arizona State University,Management Information System,Fall 2017 ,Applied,301,IELTS,6.5,65.23%,26,10
10,Ragini123,Arizona State University,Management Information System,Fall 2017 ,Applied,305,TOEFL,89,8.86 CGPA ,17,10
11,hshaikh,Arizona State University,Management Information System,Fall 2017 ,Applied,312,TOEFL,115,73%,33,10
12,shashi2233,Arizona State University,Management Information System,Fall 2017 ,Applied,322,TOEFL,110,7.6 CGPA ,0,10
13,akruti,Arizona State University,Management Information System,Fall 2017 ,Applied,319,TOEFL,100,6.74 CGPA ,28,10
14,NiteshShanbhag,Arizona State University,Management Information System,Fall 2017 ,Applied,311,ENG TEST,0,73%,25,10
16,taori,Arizona State University,Management Information System,Spring 2017 ,Applied,305,TOEFL,88,57.70%,12,10
17,xbblc671,Arizona State University,Management Information System,Fall 2016 ,Applied,307,TOEFL,87,70%,27,10
18,Ashwini,Arizona State University,Management Information System,Fall 2016 ,Applied,306,TOEFL,92,71%,36,10
19,lampard,Arizona State University,Management Information System,Fall 2016 ,Applied,320,TOEFL,100,68%,0,10
21,pranalimore808atgmail.com,Arizona State University,Management Information System,Fall 2018 ,Admit,305,ENG TEST,0,7.1 CGPA ,0,10
22,bostonner,Arizona State University,Management Information System,Fall 2018 ,Admit,315,TOEFL,104,77%,3,10
23,KrithikaCT,Arizona State University,Management Information System,Fall 2018 ,Admit,301,TOEFL,0,80.12%,60,10
24,Giridhar312,Arizona State University,Management Information System,Fall 2018 ,Admit,311,IELTS,7,7.74 CGPA ,25,10
25,Shreepriya,Arizona State University,Management Information System,Fall 2018 ,Admit,312,TOEFL,110,8.6 CGPA ,24,10
26,muktika,Arizona State University,Management Information System,Fall 2018 ,Admit,307,TOEFL,103,8 CGPA ,34,10
27,ssg-96,Arizona State University,Management Information System,Fall 2018 ,Admit,321,TOEFL,102,7.5 CGPA ,12,10
28,sankalp2610,Arizona State University,Management Information System,Fall 2018 ,Admit,306,TOEFL,99,74%,0,10
29,AsthaSh,Arizona State University,Management Information System,Fall 2018 ,Admit,310,TOEFL,110,7.49 CGPA ,0,10
30,Palaaaa,Arizona State University,Management Information System,Fall 2018 ,Admit,310,TOEFL,101,66%,22,10
31,RushilAnand,Arizona State University,Management Information System,Fall 2018 ,Admit,306,TOEFL,103,63.17%,27,10
32,apurvakharate,Arizona State University,Management Information System,Fall 2018 ,Admit,305,TOEFL,91,64%,15,10
33,GauravDharra,Arizona State University,Management Information System,Fall 2018 ,Admit,313,ENG TEST,0,75%,38,10
34,Nidhiss,Arizona State University,Management Information System,Fall 2018 ,Admit,299,TOEFL,88,83%,30,10
36,bulbul007,Arizona State University,Management Information System,Fall 2018 ,Admit,314,TOEFL,91,7.93 CGPA ,16,10
37,AsadM,Arizona State University,Management Information System,Fall 2018 ,Admit,301,ENG TEST,0,65%,74,10
38,Abirami,Arizona State University,Management Information System,Fall 2018 ,Admit,305,IELTS,7.5,8.2 CGPA ,31,10
39,hanamana,Arizona State University,Management Information System,Fall 2018 ,Admit,318,TOEFL,111,6.68 CGPA ,6,10
40,shubhm,Arizona State University,Management Information System,Fall 2018 ,Reject,307,TOEFL,0,74%,15,10
41,Disha0701,Arizona State University,Management Information System,Fall 2018 ,Reject,308,TOEFL,84,68.50%,43,10
42,Rajpatil7,Arizona State University,Management Information System,Fall 2018 ,Reject,301,TOEFL,91,6.3 CGPA ,21,10
43,Rushikesh420,Arizona State University,Management Information System,Fall 2018 ,Reject,298,TOEFL,0,57.43%,6,10
44,Rohan14,Arizona State University,Management Information System,Fall 2018 ,Reject,310,TOEFL,96,68.68%,41,10
45,mragank,Arizona State University,Management Information System,Fall 2018 ,Reject,312,TOEFL,105,7.55 CGPA ,27,10
46,Dipti92,Arizona State University,Management Information System,Fall 2018 ,Reject,301,TOEFL,88,8.6 CGPA ,55,10
47,Michelle Pradeep,Arizona State University,Management Information System,Fall 2018 ,Reject,300,ENG TEST,0,63%,7,10
48,TrishaShekarC,Arizona State University,Management Information System,Fall 2018 ,Reject,303,TOEFL,90,67%,14,10
49,Dishasuyogi,Arizona State University,Management Information System,Fall 2018 ,Reject,308,TOEFL,84,68.94%,43,10
50,kappainho,Arizona State University,Management Information System,Fall 2018 ,Reject,305,TOEFL,98,53.63%,18,10
51,Setu04,Arizona State University,Management Information System,Fall 2018 ,Reject,308,TOEFL,102,7.09 CGPA ,0,10
52,somguria,Arizona State University,Management Information System,Fall 2018 ,Reject,302,IELTS,7,8.4 CGPA ,41,10
53,ALI52,Arizona State University,Management Information System,Fall 2018 ,Reject,309,TOEFL,0,6.03 CGPA ,28,10
54,acegohan,Arizona State University,Management Information System,Fall 2018 ,Reject,303,TOEFL,89,65%,15,10
55,ThePanda1295,Arizona State University,Management Information System,Fall 2017 ,Reject,316,TOEFL,107,7.16 CGPA ,6,10
56,Tahemin,Arizona State University,Management Information System,Fall 2017 ,Reject,302,TOEFL,92,71.10%,35,10
57,anmolhanda,Arizona State University,Management Information System,Fall 2017 ,Reject,311,TOEFL,101,82.20%,18,10
58,nirali8007,Arizona State University,Management Information System,Fall 2017 ,Reject,308,TOEFL,86,8.1 CGPA ,14,10
59,aw9,Arizona State University,Management Information System,Fall 2017 ,Reject,299,TOEFL,97,59%,12,10
70,prasoons075,Arizona State University,Management Information System,Spring 2019 ,Interested,304,ENG TEST,0,74%,24,10
74,pav1993,Arizona State University,Management Information System,Fall 2019 ,Interested,310,TOEFL,0,8.98 CGPA ,35,10
76,RJay,Arizona State University,Management Information System,Fall 2019 ,Interested,320,IELTS,6.5,7.77 CGPA ,9,10
77,kratikasainferno,Arizona State University,Management Information System,Spring 2019 ,Interested,306,TOEFL,102,65%,26,10
78,ManeeshMettu,Arizona State University,Management Information System,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12,10
82,kuhubh6354,Boston University,Management Information System,Fall 2016 ,Applied,313,TOEFL,101,73%,30,9
83,a1hooman,Boston University,Management Information System,Fall 2017 ,Applied,305,TOEFL,91,5.93 CGPA ,0,9
84,sahilgupta,Boston University,Management Information System,Fall 2016 ,Applied,336,TOEFL,107,6 CGPA ,30,9
85,meet786,Boston University,Management Information System,Spring 2016 ,Applied,325,TOEFL,99,5 CGPA ,0,9
86,nidhigupta,Boston University,Management Information System,Fall 2016 ,Applied,305,TOEFL,103,81%,0,9
87,dhakad,Boston University,Management Information System,Spring 2016 ,Applied,307,TOEFL,80,81%,0,9
88,malhota,Boston University,Management Information System,Fall 2016 ,Applied,299,IELTS,7.5,78%,0,9
89,kuhubh635,Boston University,Management Information System,Fall 2016 ,Applied,313,TOEFL,101,73.64%,0,9
90,shubhamvijan,Boston University,Management Information System,Fall 2016 ,Applied,301,IELTS,7,6.35 CGPA ,10,9
91,AdityaShri1995,Boston University,Management Information System,Fall 2018 ,Admit,296,TOEFL,90,5.67 CGPA ,8,9
92,ishanwagle,Boston University,Management Information System,Fall 2018 ,Admit,316,TOEFL,106,6.75 CGPA ,5,9
93,charchil10,Boston University,Management Information System,Fall 2017 ,Admit,310,TOEFL,112,72.30%,22,9
94,apurvahg,Boston University,Management Information System,Fall 2016 ,Admit,310,TOEFL,97,56%,82,9
95,kekarthik1994,Boston University,Management Information System,Fall 2016 ,Admit,300,TOEFL,97,6.085 CGPA ,6,9
96,Tanisha,Boston University,Management Information System,Spring 2016 ,Admit,315,TOEFL,99,73.42%,26,9
97,nktchaudhari21,Boston University,Management Information System,Fall 2015 ,Admit,298,TOEFL,88,53%,20,9
98,vaishakh-sasalatti,Boston University,Management Information System,Fall 2015 ,Admit,309,TOEFL,108,7.5 CGPA ,10,9
100,sandeepyadav599,Boston University,Management Information System,Fall 2020 ,Interested,310,TOEFL,92,5.5 CGPA ,0,9
101,diviraj,Boston University,Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2,9
103,Apoorva171996,Boston University,Management Information System,Spring 2019 ,Interested,302,TOEFL,100,71%,0,9
104,sisirchinferno,Boston University,Management Information System,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38,9
105,Prasad M,Boston University,Management Information System,Fall 2018 ,Interested,306,ENG TEST,0,63%,0,9
110,annahita77,Boston University,Management Information System,Spring 2019 ,Interested,287,TOEFL,87,8.8 CGPA ,18,9
111,AsthaSh,Boston University,Management Information System,Fall 2018 ,Interested,310,TOEFL,110,7.49 CGPA ,0,9
